Date,Adj Close,Close,High,Low,Open,Volume
2008-07-09,11147.4404296875,11147.4404296875,11418.240234375,11141.990234375,11381.9296875,227100000
2008-07-10,11229.01953125,11229.01953125,11270.2998046875,11086.9501953125,11148.009765625,248010000
2008-07-11,11100.5400390625,11100.5400390625,11241.0703125,10977.6796875,11226.169921875,275010000
2008-07-14,11055.1904296875,11055.1904296875,11239.0400390625,11003.650390625,11103.6396484375,205360000
2008-07-15,10962.5400390625,10962.5400390625,11123.669921875,10827.7099609375,11050.7998046875,331390000
2008-07-16,11239.2802734375,11239.2802734375,11244.169921875,10918.330078125,10961.8896484375,307590000
2008-07-17,11446.66015625,11446.66015625,11446.66015625,11209.5595703125,11238.3896484375,335260000
2008-07-18,11496.5703125,11496.5703125,11510.8203125,11381.9296875,11436.5595703125,378610000
2008-07-21,11467.33984375,11467.33984375,11559.669921875,11423.9404296875,11495.01953125,212850000
2008-07-22,11602.5,11602.5,11616.66015625,11387.3896484375,11457.900390625,273690000
2008-07-23,11632.3798828125,11632.3798828125,11698.169921875,11558.2900390625,11603.3896484375,264520000
2008-07-24,11349.2802734375,11349.2802734375,11634.490234375,11345.3701171875,11630.33984375,241140000
2008-07-25,11370.6904296875,11370.6904296875,11443.8095703125,11325.099609375,11341.1396484375,190920000
2008-07-28,11131.080078125,11131.080078125,11369.5498046875,11125.1298828125,11369.4697265625,197550000
2008-07-29,11397.5595703125,11397.5595703125,11398.3798828125,11128.0595703125,11133.4404296875,206930000
2008-07-30,11583.6904296875,11583.6904296875,11586.6201171875,11397.5595703125,11397.5595703125,208520000
2008-07-31,11378.01953125,11378.01953125,11578.8896484375,11363.6904296875,11577.990234375,220200000
2008-08-01,11326.3203125,11326.3203125,11425.73046875,11267.0498046875,11379.8896484375,189700000
2008-08-04,11284.150390625,11284.150390625,11382.169921875,11221.5302734375,11326.3203125,170250000
2008-08-05,11615.76953125,11615.76953125,11615.9296875,11286.01953125,11286.01953125,234990000
2008-08-06,11656.0703125,11656.0703125,11685.4599609375,11521.3203125,11603.6396484375,180060000
2008-08-07,11431.4296875,11431.4296875,11655.580078125,11416.7001953125,11655.419921875,229610000
2008-08-08,11734.3203125,11734.3203125,11759.9599609375,11388.0400390625,11432.08984375,212830000
2008-08-11,11782.349609375,11782.349609375,11867.1103515625,11675.5302734375,11729.669921875,183190000
2008-08-12,11642.4697265625,11642.4697265625,11782.349609375,11601.51953125,11781.7001953125,173590000
2008-08-13,11532.9599609375,11532.9599609375,11633.7802734375,11453.33984375,11632.8095703125,182550000
2008-08-14,11615.9296875,11615.9296875,11718.2802734375,11450.8896484375,11532.0703125,159790000
2008-08-15,11659.900390625,11659.900390625,11709.8896484375,11599.73046875,11611.2099609375,215040000
2008-08-18,11479.3896484375,11479.3896484375,11690.4296875,11434.1201171875,11659.650390625,156290000
2008-08-19,11348.5498046875,11348.5498046875,11478.169921875,11318.5,11478.08984375,171580000
2008-08-20,11417.4296875,11417.4296875,11454.150390625,11290.580078125,11345.9404296875,144880000
2008-08-21,11430.2099609375,11430.2099609375,11476.2099609375,11315.5703125,11415.23046875,130020000
2008-08-22,11628.0595703125,11628.0595703125,11632.1298828125,11426.7900390625,11426.7900390625,138790000
2008-08-25,11386.25,11386.25,11626.26953125,11362.6298828125,11626.1904296875,148610000
2008-08-26,11412.8701171875,11412.8701171875,11436.240234375,11340.41015625,11383.5595703125,119800000
2008-08-27,11502.509765625,11502.509765625,11554.4599609375,11381.76953125,11412.4599609375,120580000
2008-08-28,11715.1796875,11715.1796875,11715.1796875,11499.7900390625,11499.8701171875,149150000
